param napokszama:=30;



param szabadido:
	David	Fanni	Peti:=
1	3		5		3
2	4		3		3
3	5		6		5
4	3		4		3
5	4		4		6
6	6		3		7
7	6		6		5
8	3		2		4
9	3		4		5
10	3		3		2
11	4		4		3
12	5		4		3
13	6		4		4
14	6		2		3
15	4		5		6
16	2		3		4
17	4		2		2
18	2		4		6
19	4		2		3
20	6		4		3
21	6		4		3
22	4		3		4
23	3		6		6
24	3		4		3
25	3		4		3
26	3		5		5
27	4		4		6
28	6		3		3
29	6		3		4
30	2		4		4
;

param ping:=
1	1
2	0
3	1
4	0
5	1
6	0
7	1
8	1
9	0
10	0
11	1
12	1
13	0
14	0
15	0
16	0
17	1
18	0
19	0
20	0
21	1
22	0
23	1
24	0
25	1
26	0
27	0
28	0
29	0
30	0
;

set Jatekok:=CoD LoL GTA HS AOE;
set Gamer:=David,Fanni,Peti;

param versenyszint:=
CoD	19
LoL	30
GTA	20
HS	15
AOE	17
;
param minjatekido:=
CoD	4
LoL	3
GTA	6
HS	3
AOE	2
;

param online:=
CoD	0
LoL	1
GTA	0
HS	1
AOE	0
;
end;

